FID,AREA,PERIMETER,SOILS_,SOILS_ID,MINOR1,SOIL_CODE,ACRES,CLASS,SUBCLASS,CAPABILITY
1001,129250.35643052,2249.5500978228,1402,1400,31,GlC,31.937763073982,3,Medium,3 Medium
1002,633173.66170371,9684.2367617443,1902,1900,35,GpD,156.45721180699,Other,,Other
1003,187560.58011167,2614.1301627662,1403,1401,80,WhD,46.346219345594,4,Medium,4 Medium
1004,175589.96779168,2581.7426324212,1404,1402,31,GlC,43.388281041325,3,Medium,3 Medium
1005,242678.91402517,2255.6166588475,1903,1901,65,UaB,59.96595965562,3,High,3 High
1006,428920.78514428,5410.8406618237,1405,1403,32,GlD,105.98632600915,4,Medium,4 Medium
1007,1325885.6878814,14191.271486849,1904,1902,25,ErC,327.6263534755,3,High,3 High
1008,195062.91992188,2582.1230463371,1406,1404,24,ErB,48.200047512695,2,High,2 High
1009,405362.31054688,4865.7931272412,1905,1903,35,GpD,100.16502693613,Other,,Other
1010,771427.8671875,7565.354399999,1407,1405,30,GlB,190.61982598203,2,High,2 High
1011,132123.90820313,1583.8969114584,1906,1904,32,GlD,32.647817716992,4,Medium,4 Medium
1012,161811.51757813,2866.4392622013,1408,1406,10,CmC,39.983625993555,3,Very High,3 Very High
1013,513376.64829809,3533.0514908328,1907,1905,25,ErC,126.85536979446,3,High,3 High
1014,172002.82572585,3134.9612266067,1409,1407,38,GSF,42.501898236858,Other,,Other
1015,111912.65039063,1715.2394338628,1908,1906,4,BrB,27.653615911523,4,Medium,4 Medium
1016,49118.650164023,874.24408654691,1909,1907,32,GlD,12.13721845553,4,Medium,4 Medium
1017,295055.08007813,3291.5909939413,1410,1408,32,GlD,72.908110287305,4,Medium,4 Medium
1018,243961.72568172,2710.9674577087,1910,1908,32,GlD,60.282942415954,4,Medium,4 Medium
1019,166737.26959976,1827.3471443809,1411,1409,31,GlC,41.200779318101,3,Medium,3 Medium
1020,277422.55273438,3969.3581977807,1911,1909,38,GSF,68.551112780664,Other,,Other
1021,289077.51171875,4094.0321355217,1412,1410,31,GlC,71.431053145703,3,Medium,3 Medium
1022,138217.98211545,2224.253485131,1912,1910,32,GlD,34.153663380728,4,Medium,4 Medium
1023,1496656.5761719,15303.859464577,1413,1411,43,GvC,369.82383997207,3,Medium,3 Medium
1024,950866.89648438,9574.8126824205,1913,1911,32,GlD,234.95921012129,4,Medium,4 Medium
1025,507951.99049276,7061.0272677261,1914,1912,80,WhD,125.51493685076,4,Medium,4 Medium
1026,175639.32733951,1641.7621114826,1414,1412,32,GlD,43.400477785593,4,Medium,4 Medium
1027,563932.0859375,4252.6184132819,1415,1413,30,GlB,139.34761843516,2,High,2 High
1028,2202760.9277344,22359.473425169,1915,1913,32,GlD,544.30222524316,4,Medium,4 Medium
1029,80603.193359375,1103.4931072244,1416,1414,30,GlB,19.917049079102,2,High,2 High
1030,165799.57857315,2861.1202251696,1916,1914,31,GlC,40.969075865426,3,Medium,3 Medium
1031,481582.29882813,4266.7430010986,1417,1415,9,CmB,118.99898604043,2,Very High,2 Very High
1032,459591.47851563,2858.2609869531,1917,1915,79,WhC,113.56505434121,3,Medium,3 Medium
1033,560525.38411376,6726.7784945306,1418,1416,32,GlD,138.50582241451,4,Medium,4 Medium
1034,207740.48168983,3175.9083271237,1918,1916,30,GlB,51.332673025557,2,High,2 High
1035,306432.88395537,3221.3327673375,1919,1917,30,GlB,75.719565625372,2,High,2 High
1036,406787.96289063,4241.9315318284,1419,1417,10,CmC,100.51730563027,3,Very High,3 Very High
1037,83719.420973059,1092.3658654215,1920,1918,30,GlB,20.687068922443,2,High,2 High
1038,196554.94335938,3074.2860685219,1420,1418,25,ErC,48.568726504102,3,High,3 High
1039,92515.277463786,1874.2773957774,1921,1919,32,GlD,22.860525061302,4,Medium,4 Medium
1040,555899.12109375,5492.3084105663,1421,1419,49,HTE,137.36267282227,Other,,Other
1041,160824.04882813,2119.6927987855,1922,1920,32,GlD,39.73962246543,4,Medium,4 Medium
1042,335364.52734375,5256.7415409123,1923,1921,44,GvD,82.868574706641,4,Medium,4 Medium
1043,2845823.4570313,21965.715449917,1422,1420,25,ErC,703.20297623242,3,High,3 High
1044,62052.28125,980.48955125932,1924,1922,46,HaB,15.333118696875,2,Very High,2 Very High
1045,151154.18337061,2616.3375350427,1925,1923,31,GlC,37.350198710878,3,Medium,3 Medium
1046,619001.6796875,3949.4521697266,1423,1421,75,UWB,152.95531505078,Other,,Other
1047,78540.426178843,1154.296245963,1926,1924,31,GlC,19.407339308792,3,Medium,3 Medium
1048,142859.53515625,1918.090127995,1424,1422,25,ErC,35.300591137109,3,High,3 High
1049,224399.54101563,2079.4375880413,1927,1925,75,UWB,55.449126584961,Other,,Other
1050,128669.91015625,1372.7783998461,1928,1926,30,GlB,31.794334799609,2,High,2 High
1051,2042159.4804688,12085.586518524,1425,1423,4,BrB,504.61760762383,4,Medium,4 Medium
1052,2597313.5136719,17889.719249581,1929,1927,79,WhC,641.79616922832,3,Medium,3 Medium
1053,171198.66601563,1951.4772167044,1930,1928,42,GvB,42.303190372461,2,High,2 High
1054,264882.69726563,3761.9979783292,1426,1424,11,CmD,65.452514494336,4,High,4 High
1055,127632.24879432,1428.6610757774,1931,1929,79,WhC,31.537928677076,3,Medium,3 Medium
1056,88088.486002002,1394.7393865585,1427,1425,32,GlD,21.766664891095,4,Medium,4 Medium
1057,99134.039772168,1733.2172328014,1932,1930,31,GlC,24.496021227703,3,Medium,3 Medium
1058,928482.39811357,8534.5135175138,1428,1426,25,ErC,229.42800057386,3,High,3 High
1059,53789.149236254,1081.5678485063,1933,1931,32,GlD,13.291298776278,4,Medium,4 Medium
1060,387353.89453125,3076.3063399033,1602,1600,33,GpB,95.715147338672,3,High,3 High
1061,221635.71289063,2716.5996726372,1934,1932,79,WhC,54.766184655273,3,Medium,3 Medium
1062,706743.31067643,5798.2016137091,1429,1427,79,WhC,174.63627206815,3,Medium,3 Medium
1063,156036.45644592,1820.7589951649,1935,1933,61,RyC,38.556608387786,3,High,3 High
1064,547698.91442032,6439.5691900026,1430,1428,38,GSF,135.33640175326,Other,,Other
1065,57456.095065266,954.35129204048,1936,1934,31,GlC,14.197401090627,3,Medium,3 Medium
1066,644842.5703125,8091.8725990463,1202,1200,31,GlC,159.34059912422,3,Medium,3 Medium
1067,669393.90234375,6037.1310903748,1603,1601,24,ErB,165.40723326914,2,High,2 High
1068,110250.55753054,1267.0156183084,1937,1935,32,GlD,27.242912765798,4,Medium,4 Medium
1069,95804.680231631,1279.3920959189,1938,1936,31,GlC,23.673336485236,3,Medium,3 Medium
1070,131278.6289572,1464.6559916557,1431,1429,43,GvC,32.438949215324,3,Medium,3 Medium
1071,1047612.4561423,10556.653582005,1203,1201,31,GlC,258.86503791277,3,Medium,3 Medium
1072,290743.21289063,3735.4091314368,1432,1430,32,GlD,71.842647905273,4,Medium,4 Medium
1073,209337.4055489,2761.8884177821,1604,1602,80,WhD,51.727272911133,4,Medium,4 Medium
1074,329964.3671875,5334.1921016122,1939,1937,49,HTE,81.534195132031,Other,,Other
1075,577452.49414063,5499.859790126,1204,1202,30,GlB,142.68851130215,2,High,2 High
1076,1673412.1926182,9743.3599372068,1605,1603,79,WhC,413.50015279596,3,Medium,3 Medium
1077,511985.34179688,5784.0233543419,1433,1431,10,CmC,126.51157795801,3,Very High,3 Very High
1078,374950.97641002,5869.3158279051,1940,1938,35,GpD,92.650386270915,Other,,Other
1079,57305.159104489,1105.8212552395,1434,1432,56,Ph,14.160104814719,2,Very High,2 Very High
1080,1260936.7637283,11091.924702913,1941,1939,38,GSF,311.57747431726,Other,,Other
1081,829886.38667144,9307.8667755531,1205,1203,25,ErC,205.06492614651,3,High,3 High
1082,4971723.8291436,27174.77675323,1942,1940,56,Ph,1228.5129581814,2,Very High,2 Very High
1083,49472.015927635,905.64760829341,1435,1433,79,WhC,12.224535135719,3,Medium,3 Medium
1084,1269800.5415993,8154.8017391393,1606,1604,78,WhB,313.76771382919,2,High,2 High
1085,83141.964990726,1547.6156496896,1943,1941,69,UCD,20.544379549208,Other,,Other
1086,457581.4296875,4588.1116045118,1436,1434,32,GlD,113.06837127578,4,Medium,4 Medium
1087,227884.61523438,2118.0878943315,1437,1435,9,CmB,56.310288424414,2,Very High,2 Very High
1088,300469.04492188,2539.141604021,1944,1942,32,GlD,74.245901000195,4,Medium,4 Medium
